"Source:","C:\Users\Evan\Documents\GitHub\s100-PCBs\poly88 backplane rev e\poly88 backplane rev e.kicad_sch"
"Date:","7/11/2023 12:05:12 AM"
"Tool:","Eeschema 7.0.1"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","35"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Description","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock"
"1","1","C1","2000uF","Device:C_Polarized","Capacitor_THT:CP_Axial_L67.0mm_D26.0mm_P75.00mm_Horizontal","~","","","","","","",""
"2","1","C2","1000uF","Device:C_Polarized","Capacitor_THT:CP_Axial_L67.0mm_D23.0mm_P75.00mm_Horizontal","~","","","","","","",""
"3","1","C3","17000uF","Device:C_Polarized","Evan's misc parts:CP_Radial_D35.0mm_P12.90mm_SnapIn","~","","","","","","",""
"4","1","C4","0.1uF","Device:C","Capacitor_THT:C_Rect_L11.0mm_W3.4mm_P10.00mm_MKT","~","","","","","","",""
"5","1","C5","5.6uF","Device:C","","~","","","","","","",""
"6","2","D1, D2","60S05","Evan's misc parts:60S05","Diode_THT:D_DO-201AD_P15.24mm_Horizontal","","","","","","","",""
"7","5","D3, D4, D5, D6, D8","1N4003","Diode:1N4003","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf","","","","","","",""
"8","1","D7","1N4148","Diode:1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf","","","","","","",""
"9","1","J1","Power In","Connector_Generic:Conn_01x05","Evan's misc parts:5 pin inline molex 0.93","~","","","","","","",""
"10","1","J2","Switch and Light","Connector_Generic:Conn_01x04","Connector_Molex:Molex_KK-396_A-41791-0004_1x04_P3.96mm_Vertical","~","","","","","","",""
"11","4","J3, J11, J12, J13","Conn_01x01","Connector_Generic:Conn_01x01","Connector_Pin:Pin_D1.0mm_L10.0mm","~","","","","","","",""
"12","1","J4","Card Edge in",":346-100-520-802_1","Evan's misc parts:BUS_S100_M","https://componentsearchengine.com/Datasheets/1/346-100-520-802.pdf","","346 Series (.125"" (3.18mm) contact spacing) Card Edge Connector with 100 P.C Tail type contacts. The tails are .025""Sq\' (0.64mm Sq\') and .175"" (4.45mm) long in a Double Row formation. The Insulator is Green in color and has .170"" (4.32mm) Offset Mounting Lugs","15.24","EDAC","346-100-520-802","587-346-100-520-802","https://www.mouser.com/Search/Refine.aspx?Keyword=587-346-100-520-802"
"13","5","J5, J6, J7, J8, J9","346-100-520-802",":346-100-520-802_1","Evan's misc parts:346100520802","https://componentsearchengine.com/Datasheets/1/346-100-520-802.pdf","","346 Series (.125"" (3.18mm) contact spacing) Card Edge Connector with 100 P.C Tail type contacts. The tails are .025""Sq\' (0.64mm Sq\') and .175"" (4.45mm) long in a Double Row formation. The Insulator is Green in color and has .170"" (4.32mm) Offset Mounting Lugs","15.24","EDAC","346-100-520-802","587-346-100-520-802","https://www.mouser.com/Search/Refine.aspx?Keyword=587-346-100-520-802"
"14","1","J10","edge mount connector",":346-100-520-802_1","Evan's misc parts:BUS_S100_M","https://componentsearchengine.com/Datasheets/1/346-100-520-802.pdf","","346 Series (.125"" (3.18mm) contact spacing) Card Edge Connector with 100 P.C Tail type contacts. The tails are .025""Sq\' (0.64mm Sq\') and .175"" (4.45mm) long in a Double Row formation. The Insulator is Green in color and has .170"" (4.32mm) Offset Mounting Lugs","15.24","EDAC","346-100-520-802","587-346-100-520-802","https://www.mouser.com/Search/Refine.aspx?Keyword=587-346-100-520-802"
"15","1","M1","Fan Option","Motor:Fan_3pin","","http://www.hardwarecanucks.com/forum/attachments/new-builds/16287d1330775095-help-chassis-power-fan-connectors-motherboard-asus_p8z68.jpg","","","","","","",""
"16","1","Q1","2N5449","Evan's misc parts:2N5449","Package_TO_SOT_THT:TO-92_Wide","","","","","","","",""
"17","2","R1, R2","2.2K","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P15.24mm_Horizontal","~","","","","","","",""
"18","1","R3","330","Device:R","Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P15.24mm_Horizontal","~","","","","","","",""
"19","2","R4, R5","100","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","","","",""
"20","1","R6","1K","Device:R","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","~","","","","","","",""
"21","1","R7","470","Device:R","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","~","","","","","","",""
